OID_,Join_Count,TARGET_FID,JOIN_FID,Site,Lat,Long,Source,Elevation,D_Treeline,Original_D_Temp,Min_DT,Max_DT,Mean_DT,mat_tstat,mat_sig,mat_sig_val,mat_npts,beyer_dt,chelsa_dt,ecoclimate_dt,paleopgem_dt,worldclim30s_dt,worldclim25m_dt,ggc_dt,in_mr,MapName,Level_01,Level_02,Level_03,Countries,GMTED2010
1,0,1,-1,Rano Raraku & Rano Aroi (RRA3 & ARO1),-27.15,-109.43,Farrera et al. (1999),n/a,,"-1,8 or -2,8 min",-1.8,-2.8,-2.3,,,,,,-2.6000004,-2.2315159,-2.0419998,,-2.3,-4.6730003,0,,,,,,7
2,0,2,-1,Catas Atlas,-20.08,-43.37,Farrera et al. (1999),755,,-5 to-7,-5,-7,-6,,,,,-3.6531391,-4.7625008,-3.3648319,-2.7080002,-3.5999999,-3.5,-4.6730003,0,,,,,,773
3,1,3,26,Morro de Itapeva,-22.78,-45.53,Farrera et al. (1999),1850,,-5 to -7,-5,-7,-6,,,,,-3.4909229,-2.6999998,-3.4892101,-2.6160011,-2.5999999,-3.9000001,-4.6730003,1,Atlantic Plateau (Brazil),South America,Brazilian Highlands,Atlantic Plateau (Brazil),Brazil,1683
4,0,4,-1,Botucatu,-22.8,-48.38,Farrera et al. (1999),770,,-5 to-7,-5,-7,-6,,,,,-3.6036892,-2.9249992,-3.6366196,-2.9330006,-3.5999999,-3.5999999,-4.6730003,0,,,,,,471
5,0,5,-1,Equus Cave,-27,24,Farrera et al. (1999),1500,,-3 to-4,-3,-4,-3.5,,,,,-3.7980566,-2.2458334,-4.2869329,-3.25,-4.3000002,-4.3000002,-4.6730003,0,,,,,,1320
6,0,6,-1,unknown,-25,15,Bartlein et al. (2011),,,,-12.6469,-7.9531,-10.3,-4.3888,-1,-10.3,1,-3.1569557,-2.5124989,-3.50354,-1.934,-3.5999999,-3.5999999,-4.6730003,0,,,,,,386
7,0,7,-1,unknown,-33,19,Bartlein et al. (2011),,,,-11.0031,-8.1969,-9.6,-6.842,-1,-9.6,1,-3.1542912,-1.3666668,-3.5606785,-1.8919992,-3.7,-3.7,-4.6730003,0,,,,,,165
8,0,8,-1,unknown,-25,19,Bartlein et al. (2011),,,,-5.5551,-5.0449,-5.3,-20.7762,-1,-5.3,1,-4.1060057,-1.8666668,-4.5987854,-2.6749992,-4.5999999,-4.5999999,-4.6730003,0,,,,,,1111
9,0,9,-1,unknown,-33,25,Bartlein et al. (2011),,,,-6.3163,-4.6837,-5.5,-6.7377,-1,-5.5,1,-2.9858036,-1.6000004,-3.6826487,-2.4170008,-3.7,-3.9000001,-4.6730003,0,,,,,,375
10,0,10,-1,unknown,-27,25,Bartlein et al. (2011),,,,-9.9959,-5.4041,-7.7,-3.3538,-1,-7.7,1,-3.7416058,-2.3458319,-3.9071674,-3.25,-3.7,-3.7,-4.6730003,0,,,,,,1256
11,0,11,-1,Wonderkrater (4 boreholes),-24.43,28.75,Farrera et al. (1999),1100,-1000,-5 to-6,-5,-6,-5.5,,,,,-3.6766834,-2.2041664,-3.5333128,-3.5579996,-3.4000001,-3.5,-4.6730003,0,,,,,,1106
12,1,12,28,unknown,-29,29,Bartlein et al. (2011),,,,-4.491,-0.909,-2.7,-1.5075,0,0,2,-3.4759765,-2.2041664,-3.7741961,-3.1420002,-3.9000001,-4,-4.6729999,1,Great Escarpment,Africa,Southern African Ranges,Great Escarpment,"Angola, Democratic Republic of the Congo, Lesotho, Mozambique, Namibia, Swaziland, South Africa, Zambia, Zimbabwe",3086
13,0,13,-1,unknown,-25,29,Bartlein et al. (2011),,,,-10.0327,-6.7673,-8.4,-5.1449,-1,-8.4,1,-3.5973568,-2.1333351,-3.5564833,-3.5579996,-3.7,-3.5999999,-4.6730003,0,,,,,,987
14,0,14,-1,LAC Lac Suprin,-22.3,166.98,Farrera et al. (1999),230,,-3,-3,-3,-3,,,,,-3.6318893,-2.3625011,-2.6429787,-2.2999992,-2.5,-2.5999999,-4.6730003,0,,,,,,238
15,0,15,-1,Lac Xere Wapo,-22.3,166.97,Farrera et al. (1999),235,,-3 to -1,-1,-3,-2,,,,,-3.6318893,-2.3374996,-2.6429787,-2.2999992,-2.5,-2.5999999,-4.6730003,0,,,,,,168
16,0,16,-1,unknown,-37,175,Bartlein et al. (2011),,,,-6.2862,-4.0138,-5.15,-4.5325,-1,-5.15,2,-2.874877,-3.0083332,-3.1605577,-2.3909998,-3.0999999,-3.0999999,-4.6730003,0,,,,,,81
17,1,17,22,Laguna Junin (A),-11,-76,Farrera et al. (1999),4100,,-7,-7,-7,-7,,,,,-4.4995804,-2.8708332,-3.7524204,-2.5089998,-3.9000001,-4,-4.6729999,1,Central Andes,South America,Andes,Central Andes,"Argentina, Bolivia, Chile, Ecuador, Peru",4148
18,0,18,-1,Katira,-9,-63,Farrera et al. (1999),80,,-4±2,-2,-6,-4,,,,,-4.1500816,-3.5333328,-3.6962299,-3.9169998,-3.5999999,-3.5999999,-4.6730003,0,,,,,,111
19,0,19,-1,Lago Titicaca,-16,-69,Farrera et al. (1999),3810,,-5 to -7,-5,-7,-6,,,,,-5.7171097,-3.0958333,-4.0979404,-2.691,-4.4000001,-4.3000002,-4.6729999,0,,,,,,3815
20,0,20,-1,Wasa Mayu,-17.53,-65.82,Farrera et al. (1999),2720,,-6 to -7,-6,-7,-6.5,,,,,-4.6161652,-3.1708336,-3.9046474,-3.0830002,-3.8,-3.9000001,-4.6730003,0,,,,,,2757
21,0,21,-1,Cala Conto,-17.57,-65.93,Farrera et al. (1999),2700,,-6 to -7,-6,-7,-6.5,,,,,-4.6161652,-3.1875,-3.9046474,-3.0830002,-3.9000001,-3.9000001,-4.6730003,0,,,,,,2713
22,0,22,-1,Lagoa dos Olhos,-19.53,-43.9,Farrera et al. (1999),730,,-6,-6,-6,-6,,,,,-3.7463989,-5.916667,-3.4150085,-2.8579998,-3.5,-3.5,-4.6730003,0,,,,,,712
23,0,23,-1,unknown,-7,-41,Bartlein et al. (2011),,,,-5.9612,-4.8388,-5.4,-9.6222,-1,-5.4,1,-4.3158264,-4.8624992,-3.4538021,-4.0170002,-3.2,-3.5,-4.6730003,0,,,,,,288
24,0,24,-1,unknown,-5,15,Bartlein et al. (2011),,,,-3.7184,-1.8816,-2.8,-3.0488,-1,-2.8,1,-4.2568111,-3.2041683,-3.4717503,-3.875,-3.5999999,-3.5,-4.6730003,0,,,,,,608
25,1,25,75,Kashiru,-3.48,29.57,Farrera et al. (1999),2240,-1400 to -1900,"-2,5 to -3",-2.5,-3,-2.75,,,,,-4.8562164,-2.9624996,-4.0038519,-2.4500008,-3.7,-4,-4.6730003,1,Albertine Rift Mountains,Africa,East African Highlands,Albertine Rift Mountains,"Burundi, Democratic Republic of the Congo, Rwanda, South Sudan, Tanzania, Uganda, Zambia",2162
26,1,26,75,Kashiru-88,-3.48,29.57,Farrera et al. (1999),2240,-1000,-5 to-6,-5,-6,-5.5,,,,,-4.8562164,-2.9624996,-4.0038519,-2.4500008,-3.7,-4,-4.6730003,1,Albertine Rift Mountains,Africa,East African Highlands,Albertine Rift Mountains,"Burundi, Democratic Republic of the Congo, Rwanda, South Sudan, Tanzania, Uganda, Zambia",2162
27,0,27,-1,North Tanganyika (SD24),-4.5,29.33,Farrera et al. (1999),773,,-4 min,-4,-4,-4,,,,,-4.4494019,-2.4916668,-3.7818718,-2.5340004,-3.5999999,-3.5999999,-4.6730003,0,,,,,,767
28,0,28,-1,Kalambo Falls,-8.5,31.25,Farrera et al. (1999),1200,,-3 to-5,-3,-5,-4,,,,,-4.1731968,-2.3208332,-3.8576088,-2.5169983,-4.3000002,-3.9000001,-4.6730003,0,,,,,,1394
29,0,29,-1,South Tanganyika (MPU3+MPU11+MPU12) USEF,-8.5,30.75,Farrera et al. (1999),773,,-2 to-8,-2,-8,-5,,,,,-4.2227402,-2.1416664,-3.852829,-2.6580009,-3.9000001,-3.9000001,-4.6730003,0,,,,,,767
30,1,30,75,unknown,-5,29,Bartlein et al. (2011),,,,-2.2949,-0.3051,-1.3,-1.3067,0,0,1,-4.3483887,-2.916666,-3.675436,-2.5580006,-3.5,-3.5999999,-4.6730003,1,Albertine Rift Mountains,Africa,East African Highlands,Albertine Rift Mountains,"Burundi, Democratic Republic of the Congo, Rwanda, South Sudan, Tanzania, Uganda, Zambia",1953
31,1,31,75,unknown,-3,29,Bartlein et al. (2011),,,,-0.9699,0.5033,-0.2333,-0.3168,0,0,3,-4.4154863,-2.7416668,-3.9603977,-2.3170013,-4.4000001,-4.0999999,-4.6730003,1,Albertine Rift Mountains,Africa,East African Highlands,Albertine Rift Mountains,"Burundi, Democratic Republic of the Congo, Rwanda, South Sudan, Tanzania, Uganda, Zambia",1437
32,0,32,-1,unknown,-11,31,Bartlein et al. (2011),,,,-2.3969,-0.2031,-1.3,-1.1852,0,0,1,-4.3514767,-2.9375,-3.6965694,-2.7840004,-3.7,-3.7,-4.6730003,0,,,,,,1228
33,0,33,-1,unknown,-9,31,Bartlein et al. (2011),,,,-2.657,-0.843,-1.75,-1.9294,0,0,2,-4.3399849,-2.4041672,-3.8421631,-2.6580009,-3.9000001,-3.8,-4.6730003,0,,,,,,1391
34,0,34,-1,unknown,-19,47,Bartlein et al. (2011),,,,1.5931,4.8069,3.2,1.9914,0,0,1,-3.7400799,-3.854167,-3.6465321,-2.6170006,-3.5,-3.5,-4.6730003,0,,,,,,1414
35,0,35,-1,unknown,-19,49,Bartlein et al. (2011),,,,-4.0429,0.2429,-1.9,-0.8866,0,0,1,-2.6483593,-3.583334,-4.0489044,-2.5,-4.3000002,-4.3000002,-4.6730003,0,,,,,,13
