OID_,Site,Lat,Long,Source,Elevation,D_Treeline,Original_D_Temp,Min_DT,Max_DT,Mean_DT,mat_tstat,mat_sig,mat_sig_val,mat_npts,beyer_diff_min,beyer_diff_max,beyer_diff_mean,chelsa_diff_min,chelsa_diff_max,chelsa_diff_mean,ecoclimate_diff_min,ecoclimate_diff_max,ecoclimate_diff_mean,paleopgem_diff_min,paleopgem_diff_max,paleopgem_diff_mean,worldclim30s_diff_min,worldclim30s_diff_max,worldclim30s_diff_mean,worldclim25m_diff_min,worldclim25m_diff_max,worldclim25m_diff_mean,ggc_diff_min,ggc_diff_max,ggc_diff_mean,in_mr,MapName,Level_01,Level_02,Level_03,Countries,GMTED2010
1,Rano Raraku & Rano Aroi (RRA3 & ARO1),-27.15,-109.43,Farrera et al. (1999),n/a,,"-1,8 or -2,8 min",-1.8,-2.8,-2.3,,,,,,,,-0.8000004,0.1999996,-0.3000004,-0.4315159,0.5684841,0.0684841,-0.2419998,0.7580002,0.2580002,,,,-0.5,0.5,0,-2.8730003,-1.8730003,-2.3730003,0,,,,,,7
2,Catas Atlas,-20.08,-43.37,Farrera et al. (1999),755,,-5 to-7,-5,-7,-6,,,,,1.3468609,3.3468609,2.3468609,0.2374992,2.2374992,1.2374992,1.6351681,3.6351681,2.6351681,2.2919998,4.2919998,3.2919998,1.4000001,3.4000001,2.4000001,1.5,3.5,2.5,0.3269997,2.3269997,1.3269997,0,,,,,,773
3,Morro de Itapeva,-22.78,-45.53,Farrera et al. (1999),1850,,-5 to -7,-5,-7,-6,,,,,1.5090771,3.5090771,2.5090771,2.3000002,4.3000002,3.3000002,1.5107899,3.5107899,2.5107899,2.3839989,4.3839989,3.3839989,2.4000001,4.4000001,3.4000001,1.0999999,3.0999999,2.0999999,0.3269997,2.3269997,1.3269997,1,Atlantic Plateau (Brazil),South America,Brazilian Highlands,Atlantic Plateau (Brazil),Brazil,1683
4,Botucatu,-22.8,-48.38,Farrera et al. (1999),770,,-5 to-7,-5,-7,-6,,,,,1.3963108,3.3963108,2.3963108,2.0750008,4.0750008,3.0750008,1.3633804,3.3633804,2.3633804,2.0669994,4.0669994,3.0669994,1.4000001,3.4000001,2.4000001,1.4000001,3.4000001,2.4000001,0.3269997,2.3269997,1.3269997,0,,,,,,471
5,Equus Cave,-27,24,Farrera et al. (1999),1500,,-3 to-4,-3,-4,-3.5,,,,,-0.7980566,0.2019434,-0.2980566,0.7541666,1.7541666,1.2541666,-1.2869329,-0.2869329,-0.7869329,-0.25,0.75,0.25,-1.3000002,-0.3000002,-0.8000002,-1.3000002,-0.3000002,-0.8000002,-1.6730003,-0.6730003,-1.1730003,0,,,,,,1320
6,unknown,-25,15,Bartlein et al. (2011),,,,-12.6469,-7.9531,-10.3,-4.3888,-1,-10.3,1,9.4899443,4.7961443,7.1430443,10.1344011,5.4406011,7.7875011,9.14336,4.44956,6.79646,10.7129,6.0191,8.366,9.0469001,4.3531001,6.7000001,9.0469001,4.3531001,6.7000001,7.9738997,3.2800997,5.6269997,0,,,,,,386
7,unknown,-33,19,Bartlein et al. (2011),,,,-11.0031,-8.1969,-9.6,-6.842,-1,-9.6,1,7.8488088,5.0426088,6.4457088,9.6364332,6.8302332,8.2333332,7.4424215,4.6362215,6.0393215,9.1111008,6.3049008,7.7080008,7.3031,4.4969,5.9,7.3031,4.4969,5.9,6.3300997,3.5238997,4.9269997,0,,,,,,165
8,unknown,-25,19,Bartlein et al. (2011),,,,-5.5551,-5.0449,-5.3,-20.7762,-1,-5.3,1,1.4490943,0.9388943,1.1939943,3.6884332,3.1782332,3.4333332,0.9563146,0.4461146,0.7012146,2.8801008,2.3699008,2.6250008,0.9551001,0.4449001,0.7000001,0.9551001,0.4449001,0.7000001,0.8820997,0.3718997,0.6269997,0,,,,,,1111
9,unknown,-33,25,Bartlein et al. (2011),,,,-6.3163,-4.6837,-5.5,-6.7377,-1,-5.5,1,3.3304964,1.6978964,2.5141964,4.7162996,3.0836996,3.8999996,2.6336513,1.0010513,1.8173513,3.8992992,2.2666992,3.0829992,2.6163,0.9837,1.8,2.4162999,0.7836999,1.5999999,1.6432997,0.0106997,0.8269997,0,,,,,,375
10,unknown,-27,25,Bartlein et al. (2011),,,,-9.9959,-5.4041,-7.7,-3.3538,-1,-7.7,1,6.2542942,1.6624942,3.9583942,7.6500681,3.0582681,5.3541681,6.0887326,1.4969326,3.7928326,6.7459,2.1541,4.45,6.2959,1.7041,4,6.2959,1.7041,4,5.3228997,0.7310997,3.0269997,0,,,,,,1256
