OID_;Join_Count;TARGET_FID;JOIN_FID;Site;Lat;Long;Source;Elevation;D_Treeline;Original_D_Temp;Min_DT;Max_DT;Mean_DT;mat_tstat;mat_sig;mat_sig_val;mat_npts;beyer_dt;chelsa_dt;ecoclimate_dt;paleopgem_dt;worldclim30s_dt;worldclim25m_dt;ggc_dt;MapName;Level_01;Level_02;Level_03;Countries;GMTED2010
1;0;1;-1;Rano Raraku & Rano Aroi (RRA3 & ARO1);-27,15;-109,43;Farrera et al. (1999);n/a;;-1,8 or -2,8 min;-1,8;-2,8;-2,3;;;;;2,3;-0,3000004;0,0684841;0,2580002;2,3;0;-2,3730003;;;;;;7
2;0;2;-1;Catas Atlas;-20,08;-43,37;Farrera et al. (1999);755;;-5 to-7;-5;-7;-6;;;;;2,3468609;1,2374992;2,6351681;3,2919998;2,4000001;2,5;1,3269997;;;;;;773
3;1;3;26;Morro de Itapeva;-22,78;-45,53;Farrera et al. (1999);1850;;-5 to -7;-5;-7;-6;;;;;2,5090771;3,3000002;2,5107899;3,3839989;3,4000001;2,0999999;1,3269997;Atlantic Plateau (Brazil);South America;Brazilian Highlands;Atlantic Plateau (Brazil);Brazil;1683
4;0;4;-1;Botucatu;-22,8;-48,38;Farrera et al. (1999);770;;-5 to-7;-5;-7;-6;;;;;2,3963108;3,0750008;2,3633804;3,0669994;2,4000001;2,4000001;1,3269997;;;;;;471
5;0;5;-1;Equus Cave;-27;24;Farrera et al. (1999);1500;;-3 to-4;-3;-4;-3,5;;;;;-0,2980566;1,2541666;-0,7869329;0,25;-0,8000002;-0,8000002;-1,1730003;;;;;;1320
6;0;6;-1;unknown;-25;15;Bartlein et al. (2011);;;;-12,6469;-7,9531;-10,3;-4,3888;-1;-10,3;1;7,1430443;7,7875011;6,79646;8,366;6,7000001;6,7000001;5,6269997;;;;;;386
7;0;7;-1;unknown;-33;19;Bartlein et al. (2011);;;;-11,0031;-8,1969;-9,6;-6,842;-1;-9,6;1;6,4457088;8,2333332;6,0393215;7,7080008;5,9;5,9;4,9269997;;;;;;165
8;0;8;-1;unknown;-25;19;Bartlein et al. (2011);;;;-5,5551;-5,0449;-5,3;-20,7762;-1;-5,3;1;1,1939943;3,4333332;0,7012146;2,6250008;0,7000001;0,7000001;0,6269997;;;;;;1111
9;0;9;-1;unknown;-33;25;Bartlein et al. (2011);;;;-6,3163;-4,6837;-5,5;-6,7377;-1;-5,5;1;2,5141964;3,8999996;1,8173513;3,0829992;1,8;1,5999999;0,8269997;;;;;;375
10;0;10;-1;unknown;-27;25;Bartlein et al. (2011);;;;-9,9959;-5,4041;-7,7;-3,3538;-1;-7,7;1;3,9583942;5,3541681;3,7928326;4,45;4;4;3,0269997;;;;;;1256
11;0;11;-1;Wonderkrater (4 boreholes);-24,43;28,75;Farrera et al. (1999);1100;-1000;-5 to-6;-5;-6;-5,5;;;;;1,8233166;3,2958336;1,9666872;1,9420004;2,0999999;2;0,8269997;;;;;;1106
12;1;12;28;unknown;-29;29;Bartlein et al. (2011);;;;-4,491;-0,909;-2,7;-1,5075;0;0;2;-0,7759765;0,4958336;-1,0741961;-0,4420002;-1,2000001;-1,3;-1,9729999;Great Escarpment;Africa;Southern African Ranges;Great Escarpment;Angola, Democratic Republic of the Congo, Lesotho, Mozambique, Namibia, Swaziland, South Africa, Zambia, Zimbabwe;3086
13;0;13;-1;unknown;-25;29;Bartlein et al. (2011);;;;-10,0327;-6,7673;-8,4;-5,1449;-1;-8,4;1;4,8026432;6,2666649;4,8435167;4,8420004;4,7;4,8000001;3,7269997;;;;;;987
14;0;14;-1;LAC Lac Suprin;-22,3;166,98;Farrera et al. (1999);230;;-3;-3;-3;-3;;;;;-0,6318893;0,6374989;0,3570213;0,7000008;0,5;0,4000001;-1,6730003;;;;;;238
15;0;15;-1;Lac Xere Wapo;-22,3;166,97;Farrera et al. (1999);235;;-3 to -1;-1;-3;-2;;;;;-1,6318893;-0,3374996;-0,6429787;-0,2999992;-0,5;-0,5999999;-2,6730003;;;;;;168
16;0;16;-1;unknown;-37;175;Bartlein et al. (2011);;;;-6,2862;-4,0138;-5,15;-4,5325;-1;-5,15;2;2,275123;2,1416668;1,9894423;2,7590002;2,0500001;2,0500001;0,4769997;;;;;;81
17;1;17;22;Laguna Junin (A);-11;-76;Farrera et al. (1999);4100;;-7;-7;-7;-7;;;;;2,5004196;4,1291668;3,2475796;4,4910002;3,0999999;3;2,3270001;Central Andes;South America;Andes;Central Andes;Argentina, Bolivia, Chile, Ecuador, Peru;4148
18;0;18;-1;Katira;-9;-63;Farrera et al. (1999);80;;-4±2;-2;-6;-4;;;;;-0,1500816;0,4666672;0,3037701;0,0830002;0,4000001;0,4000001;-0,6730003;;;;;;111
19;0;19;-1;Lago Titicaca;-16;-69;Farrera et al. (1999);3810;;-5 to -7;-5;-7;-6;;;;;0,2828903;2,9041667;1,9020596;3,309;1,5999999;1,6999998;1,3270001;;;;;;3815
20;0;20;-1;Wasa Mayu;-17,53;-65,82;Farrera et al. (1999);2720;;-6 to -7;-6;-7;-6,5;;;;;1,8838348;3,3291664;2,5953526;3,4169998;2,7;2,5999999;1,8269997;;;;;;2757
21;0;21;-1;Cala Conto;-17,57;-65,93;Farrera et al. (1999);2700;;-6 to -7;-6;-7;-6,5;;;;;1,8838348;3,3125;2,5953526;3,4169998;2,5999999;2,5999999;1,8269997;;;;;;2713
22;0;22;-1;Lagoa dos Olhos;-19,53;-43,9;Farrera et al. (1999);730;;-6;-6;-6;-6;;;;;2,2536011;0,083333;2,5849915;3,1420002;2,5;2,5;1,3269997;;;;;;712
23;0;23;-1;unknown;-7;-41;Bartlein et al. (2011);;;;-5,9612;-4,8388;-5,4;-9,6222;-1;-5,4;1;1,0841736;0,5375008;1,9461979;1,3829998;2,2;1,9;0,7269997;;;;;;288
24;0;24;-1;unknown;-5;15;Bartlein et al. (2011);;;;-3,7184;-1,8816;-2,8;-3,0488;-1;-2,8;1;-1,4568111;-0,4041683;-0,6717503;-1,075;-0,7999999;-0,7;-1,8730003;;;;;;608
25;1;25;75;Kashiru;-3,48;29,57;Farrera et al. (1999);2240;-1400 to -1900;-2,5 to -3;-2,5;-3;-2,75;;;;;-2,1062164;-0,2124996;-1,2538519;0,2999992;-0,95;-1,25;-1,9230003;Albertine Rift Mountains;Africa;East African Highlands;Albertine Rift Mountains;Burundi, Democratic Republic of the Congo, Rwanda, South Sudan, Tanzania, Uganda, Zambia;2162
26;1;26;75;Kashiru-88;-3,48;29,57;Farrera et al. (1999);2240;-1000;-5 to-6;-5;-6;-5,5;;;;;0,6437836;2,5375004;1,4961481;3,0499992;1,8;1,5;0,8269997;Albertine Rift Mountains;Africa;East African Highlands;Albertine Rift Mountains;Burundi, Democratic Republic of the Congo, Rwanda, South Sudan, Tanzania, Uganda, Zambia;2162
27;0;27;-1;North Tanganyika (SD24);-4,5;29,33;Farrera et al. (1999);773;;-4 min;-4;-4;-4;;;;;-0,4494019;1,5083332;0,2181282;1,4659996;0,4000001;0,4000001;-0,6730003;;;;;;767
28;0;28;-1;Kalambo Falls;-8,5;31,25;Farrera et al. (1999);1200;;-3 to-5;-3;-5;-4;;;;;-0,1731968;1,6791668;0,1423912;1,4830017;-0,3000002;0,0999999;-0,6730003;;;;;;1394
29;0;29;-1;South Tanganyika (MPU3+MPU11+MPU12) USEF;-8,5;30,75;Farrera et al. (1999);773;;-2 to-8;-2;-8;-5;;;;;0,7772598;2,8583336;1,147171;2,3419991;1,0999999;1,0999999;0,3269997;;;;;;767
30;1;30;75;unknown;-5;29;Bartlein et al. (2011);;;;-2,2949;-0,3051;-1,3;-1,3067;0;0;1;-3,0483887;-1,616666;-2,375436;-1,2580006;-2,2;-2,2999999;-3,3730003;Albertine Rift Mountains;Africa;East African Highlands;Albertine Rift Mountains;Burundi, Democratic Republic of the Congo, Rwanda, South Sudan, Tanzania, Uganda, Zambia;1953
31;1;31;75;unknown;-3;29;Bartlein et al. (2011);;;;-0,9699;0,5033;-0,2333;-0,3168;0;0;3;-4,1821863;-2,5083668;-3,7270977;-2,0837013;-4,1667001;-3,8666999;-4,4397003;Albertine Rift Mountains;Africa;East African Highlands;Albertine Rift Mountains;Burundi, Democratic Republic of the Congo, Rwanda, South Sudan, Tanzania, Uganda, Zambia;1437
32;0;32;-1;unknown;-11;31;Bartlein et al. (2011);;;;-2,3969;-0,2031;-1,3;-1,1852;0;0;1;-3,0514767;-1,6375;-2,3965694;-1,4840004;-2,4;-2,4;-3,3730003;;;;;;1228
33;0;33;-1;unknown;-9;31;Bartlein et al. (2011);;;;-2,657;-0,843;-1,75;-1,9294;0;0;2;-2,5899849;-0,6541672;-2,0921631;-0,9080009;-2,1500001;-2,05;-2,9230003;;;;;;1391
34;0;34;-1;unknown;-19;47;Bartlein et al. (2011);;;;1,5931;4,8069;3,2;1,9914;0;0;1;-6,9400799;-7,054167;-6,8465321;-5,8170006;-6,7;-6,7;-7,8730003;;;;;;1414
